Postcode;City;State;Region;
1450;Chastre-Villeroux-Blanmont;Waals-Brabant;Wallonië;
1450;Cortil-Noirmont;Waals-Brabant;Wallonië;
1450;Gentinnes;Waals-Brabant;Wallonië;
1450;Saint-Géry;Waals-Brabant;Wallonië;
1457;Nil-Saint-Vincent-Saint-Martin;Waals-Brabant;Wallonië;
1457;Tourinnes-Saint-Lambert;Waals-Brabant;Wallonië;
1457;Walhain;Waals-Brabant;Wallonië;
1457;Walhain-Saint-Paul;Waals-Brabant;Wallonië;
1460;Ittre;Waals-Brabant;Wallonië;
1460;Virginal-Samme;Waals-Brabant;Wallonië;
1461;Haut-Ittre;Waals-Brabant;Wallonië;
1470;Baisy-Thy;Waals-Brabant;Wallonië;
1470;Bousval;Waals-Brabant;Wallonië;
1470;Genappe;Waals-Brabant;Wallonië;
1471;Loupoigne;Waals-Brabant;Wallonië;
1472;Vieux-Genappe;Waals-Brabant;Wallonië;
1473;Glabais;Waals-Brabant;Wallonië;
1474;Ways;Waals-Brabant;Wallonië;
1476;Houtain-Le-Val;Waals-Brabant;Wallonië;
1480;Clabecq;Waals-Brabant;Wallonië;
1480;Oisquercq;Waals-Brabant;Wallonië;
1480;Saintes;Waals-Brabant;Wallonië;
1480;Tubize;Waals-Brabant;Wallonië;
1490;Court-Saint-Etienne;Waals-Brabant;Wallonië;
1495;Marbais;Waals-Brabant;Wallonië;
1495;Mellery;Waals-Brabant;Wallonië;
1495;Sart-Dames-Avelines;Waals-Brabant;Wallonië;
1495;Tilly;Waals-Brabant;Wallonië;
1495;Villers-La-Ville;Waals-Brabant;Wallonië;
1500;Halle;Vlaams-Brabant;Vlaanderen;
1501;Buizingen;Vlaams-Brabant;Vlaanderen;
1502;Lembeek;Vlaams-Brabant;Vlaanderen;
1540;Herfelingen;Vlaams-Brabant;Vlaanderen;
1540;Herne;Vlaams-Brabant;Vlaanderen;
1541;Sint-Pieters-Kapelle;Vlaams-Brabant;Vlaanderen;
1547;Biévène;Vlaams-Brabant;Vlaanderen;
1560;Hoeilaart;Vlaams-Brabant;Vlaanderen;
1570;Galmaarden;Vlaams-Brabant;Vlaanderen;
1570;Tollembeek;Vlaams-Brabant;Vlaanderen;
1570;Vollezele;Vlaams-Brabant;Vlaanderen;
1600;Oudenaken;Vlaams-Brabant;Vlaanderen;
1600;Sint-Laureins-Berchem;Vlaams-Brabant;Vlaanderen;
1600;Sint-Pieters-Leeuw;Vlaams-Brabant;Vlaanderen;
1601;Ruisbroek;Vlaams-Brabant;Vlaanderen;
1602;Vlezenbeek;Vlaams-Brabant;Vlaanderen;
1620;Drogenbos;Vlaams-Brabant;Vlaanderen;
1630;Linkebeek;Vlaams-Brabant;Vlaanderen;
1640;Rhode-Saint-Genèse;Vlaams-Brabant;Vlaanderen;
1650;Beersel;Vlaams-Brabant;Vlaanderen;
1651;Lot;Vlaams-Brabant;Vlaanderen;
1652;Alsemberg;Vlaams-Brabant;Vlaanderen;
1653;Dworp;Vlaams-Brabant;Vlaanderen;
1654;Huizingen;Vlaams-Brabant;Vlaanderen;
1670;Bogaarden;Vlaams-Brabant;Vlaanderen;
1670;Heikruis;Vlaams-Brabant;Vlaanderen;
1670;Pepingen;Vlaams-Brabant;Vlaanderen;
1671;Elingen;Vlaams-Brabant;Vlaanderen;
1673;Beert;Vlaams-Brabant;Vlaanderen;
1674;Bellingen;Vlaams-Brabant;Vlaanderen;
1700;Dilbeek;Vlaams-Brabant;Vlaanderen;
1700;Sint-Martens-Bodegem;Vlaams-Brabant;Vlaanderen;
1700;Sint-Ulriks-Kapelle;Vlaams-Brabant;Vlaanderen;
1701;Itterbeek;Vlaams-Brabant;Vlaanderen;
1702;Groot-Bijgaarden;Vlaams-Brabant;Vlaanderen;
1703;Schepdaal;Vlaams-Brabant;Vlaanderen;
1730;Asse;Vlaams-Brabant;Vlaanderen;
1730;Bekkerzeel;Vlaams-Brabant;Vlaanderen;
1730;Kobbegem;Vlaams-Brabant;Vlaanderen;
1730;Mollem;Vlaams-Brabant;Vlaanderen;
1731;Relegem;Vlaams-Brabant;Vlaanderen;
1731;Zellik;Vlaams-Brabant;Vlaanderen;
1740;Ternat;Vlaams-Brabant;Vlaanderen;
1741;Wambeek;Vlaams-Brabant;Vlaanderen;
1742;Sint-Katherina-Lombeek;Vlaams-Brabant;Vlaanderen;
1745;Mazenzele;Vlaams-Brabant;Vlaanderen;
1745;Opwijk;Vlaams-Brabant;Vlaanderen;
1750;Gaasbeek;Vlaams-Brabant;Vlaanderen;
1750;Lennik;Vlaams-Brabant;Vlaanderen;
1750;Sint-Kwintens-Lennik;Vlaams-Brabant;Vlaanderen;
1750;Sint-Martens-Lennik;Vlaams-Brabant;Vlaanderen;
1755;Gooik;Vlaams-Brabant;Vlaanderen;
1755;Kester;Vlaams-Brabant;Vlaanderen;
1755;Leerbeek;Vlaams-Brabant;Vlaanderen;
1755;Oetingen;Vlaams-Brabant;Vlaanderen;
1760;Onze-Lieve-Vrouw-Lombeek;Vlaams-Brabant;Vlaanderen;
1760;Pamel;Vlaams-Brabant;Vlaanderen;
1760;Roosdaal;Vlaams-Brabant;Vlaanderen;
1760;Strijtem;Vlaams-Brabant;Vlaanderen;
1761;Borchtlombeek;Vlaams-Brabant;Vlaanderen;
1770;Liedekerke;Vlaams-Brabant;Vlaanderen;
1780;Wemmel;Vlaams-Brabant;Vlaanderen;
1785;Brussegem;Vlaams-Brabant;Vlaanderen;
1785;Hamme;Vlaams-Brabant;Vlaanderen;
1785;Merchtem;Vlaams-Brabant;Vlaanderen;
1790;Affligem;Vlaams-Brabant;Vlaanderen;
1790;Essene;Vlaams-Brabant;Vlaanderen;
1790;Hekelgem;Vlaams-Brabant;Vlaanderen;
1790;Teralfene;Vlaams-Brabant;Vlaanderen;
1800;Peutie;Vlaams-Brabant;Vlaanderen;
1800;Vilvoorde;Vlaams-Brabant;Vlaanderen;
1820;Melsbroek;Vlaams-Brabant;Vlaanderen;
1820;Perk;Vlaams-Brabant;Vlaanderen;
1820;Steenokkerzeel;Vlaams-Brabant;Vlaanderen;
1830;Machelen;Vlaams-Brabant;Vlaanderen;
1831;Diegem;Vlaams-Brabant;Vlaanderen;
1840;Londerzeel;Vlaams-Brabant;Vlaanderen;
1840;Malderen;Vlaams-Brabant;Vlaanderen;
1840;Steenhuffel;Vlaams-Brabant;Vlaanderen;
1850;Grimbergen;Vlaams-Brabant;Vlaanderen;
1851;Humbeek;Vlaams-Brabant;Vlaanderen;
1852;Beigem;Vlaams-Brabant;Vlaanderen;
1853;Strombeek-Bever;Vlaams-Brabant;Vlaanderen;
1860;Meise;Vlaams-Brabant;Vlaanderen;
1861;Wolvertem;Vlaams-Brabant;Vlaanderen;
1880;Kapelle-Op-Den-Bos;Vlaams-Brabant;Vlaanderen;
1880;Nieuwenrode;Vlaams-Brabant;Vlaanderen;
1880;Ramsdonk;Vlaams-Brabant;Vlaanderen;
1910;Berg;Vlaams-Brabant;Vlaanderen;
1910;Buken;Vlaams-Brabant;Vlaanderen;
1910;Kampenhout;Vlaams-Brabant;Vlaanderen;
1910;Nederokkerzeel;Vlaams-Brabant;Vlaanderen;
1930;Nossegem;Vlaams-Brabant;Vlaanderen;
1930;Zaventem;Vlaams-Brabant;Vlaanderen;
1932;Sint-Stevens-Woluwe;Vlaams-Brabant;Vlaanderen;
1933;Sterrebeek;Vlaams-Brabant;Vlaanderen;
1950;Kraainem;Vlaams-Brabant;Vlaanderen;
1970;Wezembeek-Oppem;Vlaams-Brabant;Vlaanderen;
1980;Eppegem;Vlaams-Brabant;Vlaanderen;
1980;Zemst;Vlaams-Brabant;Vlaanderen;
1981;Hofstade;Vlaams-Brabant;Vlaanderen;
1982;Elewijt;Vlaams-Brabant;Vlaanderen;
1982;Weerde;Vlaams-Brabant;Vlaanderen;
2000;Antwerpen;Antwerpen;Vlaanderen;
2018;Antwerpen;Antwerpen;Vlaanderen;
2020;Antwerpen;Antwerpen;Vlaanderen;
2030;Antwerpen;Antwerpen;Vlaanderen;
2040;Antwerpen;Antwerpen;Vlaanderen;
2040;Berendrecht;Antwerpen;Vlaanderen;
2040;Lillo;Antwerpen;Vlaanderen;
2040;Zandvliet;Antwerpen;Vlaanderen;
2050;Antwerpen;Antwerpen;Vlaanderen;
2060;Antwerpen;Antwerpen;Vlaanderen;
2070;Burcht;Antwerpen;Vlaanderen;
2070;Zwijndrecht;Antwerpen;Vlaanderen;
2100;Deurne;Antwerpen;Vlaanderen;
2110;Wijnegem;Antwerpen;Vlaanderen;
2140;Borgerhout;Antwerpen;Vlaanderen;
2150;Borsbeek;Antwerpen;Vlaanderen;
2160;Wommelgem;Antwerpen;Vlaanderen;
2170;Merksem;Antwerpen;Vlaanderen;
2180;Ekeren;Antwerpen;Vlaanderen;
2200;Herentals;Antwerpen;Vlaanderen;
2200;Morkhoven;Antwerpen;Vlaanderen;
2200;Noorderwijk;Antwerpen;Vlaanderen;
2220;Hallaar;Antwerpen;Vlaanderen;
2220;Heist-Op-Den-Berg;Antwerpen;Vlaanderen;
2221;Booischot;Antwerpen;Vlaanderen;
2222;Itegem;Antwerpen;Vlaanderen;
2222;Wiekevorst;Antwerpen;Vlaanderen;
2223;Schriek;Antwerpen;Vlaanderen;
2230;Herselt;Antwerpen;Vlaanderen;
2230;Ramsel;Antwerpen;Vlaanderen;
2235;Houtvenne;Antwerpen;Vlaanderen;
2235;Hulshout;Antwerpen;Vlaanderen;
2235;Westmeerbeek;Antwerpen;Vlaanderen;
2240;Massenhoven;Antwerpen;Vlaanderen;
2240;Viersel;Antwerpen;Vlaanderen;
2240;Zandhoven;Antwerpen;Vlaanderen;
2242;Pulderbos;Antwerpen;Vlaanderen;
2243;Pulle;Antwerpen;Vlaanderen;
2250;Olen;Antwerpen;Vlaanderen;
2260;Oevel;Antwerpen;Vlaanderen;
2260;Tongerlo;Antwerpen;Vlaanderen;
2260;Westerlo;Antwerpen;Vlaanderen;
2260;Zoerle-Parwijs;Antwerpen;Vlaanderen;
2270;Herenthout;Antwerpen;Vlaanderen;
2275;Gierle;Antwerpen;Vlaanderen;
2275;Lille;Antwerpen;Vlaanderen;
2275;Poederlee;Antwerpen;Vlaanderen;
